"Scientific.Names","Common.Names","Genus","Family","Latitude","Longitude"
"Audouinia capitata","False Heath","Audouinia","Bruniaceae","-34.32961486","18.45500685"
"Audouinia capitata","False Heath","Audouinia","Bruniaceae","-34.267704","18.46245764"
"Audouinia capitata","False Heath","Audouinia","Bruniaceae","-34.26771563","18.46250555"
"Audouinia capitata","False Heath","Audouinia","Bruniaceae","-34.26782833","18.4624007"
"Audouinia capitata","False Heath","Audouinia","Bruniaceae","-34.10071944","18.44828889"
"Audouinia capitata","False Heath","Audouinia","Bruniaceae","-34.10071944","18.44828889"
"Audouinia capitata","False Heath","Audouinia","Bruniaceae","-34.14752217","18.42788667"
"Audouinia capitata","False Heath","Audouinia","Bruniaceae","-34.14786944","18.42786111"
"Audouinia capitata","False Heath","Audouinia","Bruniaceae","-34.1478","18.4278"
"Audouinia capitata","False Heath","Audouinia","Bruniaceae","-34.32961486","18.45500685"
"Audouinia capitata","False Heath","Audouinia","Bruniaceae","-34.14786944","18.42786111"
"Audouinia capitata","False Heath","Audouinia","Bruniaceae","-34.1478","18.4278"
"Audouinia capitata","","Audouinia","Bruniaceae","-34.056102","18.33469"
"Audouinia capitata","","Audouinia","Bruniaceae","-34.056041","18.334633"
"Audouinia capitata","","Audouinia","Bruniaceae","-34.056194","18.334606"
"Audouinia capitata","","Audouinia","Bruniaceae","-34.144664","18.425735"
"Audouinia capitata","","Audouinia","Bruniaceae","-34.149345","18.326285"
"Audouinia capitata","","Audouinia","Bruniaceae","-34.149356","18.326262"
"Audouinia capitata","","Audouinia","Bruniaceae","-34.149463","18.32613"
"Audouinia capitata","","Audouinia","Bruniaceae","-34.14995","18.43121"
"Audouinia capitata","","Audouinia","Bruniaceae","-34.151508","18.329468"
"Audouinia capitata","","Audouinia","Bruniaceae","-34.15159","18.32932"
"Audouinia capitata","","Audouinia","Bruniaceae","-34.150976","18.330241"
"Audouinia capitata","","Audouinia","Bruniaceae","-34.15098","18.330086"
"Audouinia capitata","","Audouinia","Bruniaceae","-34.1584","18.3369"
"Audouinia capitata","","Audouinia","Bruniaceae","-34.1688","18.3841"
"Audouinia capitata","","Audouinia","Bruniaceae","-34.266512","18.389687"
"Audouinia capitata","","Audouinia","Bruniaceae","-34.266555","18.389672"
"Audouinia capitata","","Audouinia","Bruniaceae","-34.266518","18.389587"
"Audouinia capitata","","Audouinia","Bruniaceae","-34.271798","18.410638"
"Disa rosea","","Disa","Orchidaceae","-33.956759","18.403682"
"Disa rosea","","Disa","Orchidaceae","-33.960019","18.405951"
"Disa rosea","","Disa","Orchidaceae","-33.97","18.4"
"Disa rosea","Rose Disa","Disa","Orchidaceae","-33.96986459","18.4016086"
"Disa rosea","","Disa","Orchidaceae","-33.969489","18.402573"
"Disa rosea","","Disa","Orchidaceae","-33.96538","18.407482"
"Disa rosea","","Disa","Orchidaceae","-33.965244","18.406316"
"Disa rosea","","Disa","Orchidaceae","-33.965282","18.407124"
"Disa rosea","","Disa","Orchidaceae","-33.967327","18.412112"
"Disa rosea","","Disa","Orchidaceae","-33.966455","18.411602"
"Disa rosea","","Disa","Orchidaceae","-33.966212","18.423913"
"Disa rosea","","Disa","Orchidaceae","-33.966389","18.424167"
"Disa rosea","Rose Disa","Disa","Orchidaceae","-33.96811308","18.42585819"
"Disa rosea","Rose Disa","Disa","Orchidaceae","-33.96805562","18.42590287"
"Disa rosea","","Disa","Orchidaceae","-33.967908","18.426169"
"Disa rosea","","Disa","Orchidaceae","-33.973669","18.404644"
"Disa rosea","","Disa","Orchidaceae","-33.97377","18.404728"
"Disa rosea","","Disa","Orchidaceae","-33.973647","18.40473"
"Disa rosea","","Disa","Orchidaceae","-33.97302","18.407388"
"Disa rosea","","Disa","Orchidaceae","-33.973126","18.407114"
"Disa rosea","","Disa","Orchidaceae","-33.973076","18.407231"
"Disa rosea","Rose Disa","Disa","Orchidaceae","-33.9731686","18.4194422"
"Disa rosea","Rose Disa","Disa","Orchidaceae","-33.97335924","18.41959063"
"Disa rosea","Rose Disa","Disa","Orchidaceae","-33.97337797","18.419385"
"Disa rosea","Rose Disa","Disa","Orchidaceae","-33.97200494","18.42144234"
"Disa rosea","Rose Disa","Disa","Orchidaceae","-33.97172194","18.42147839"
"Disa rosea","","Disa","Orchidaceae","-33.973992","18.420809"
"Disa rosea","","Disa","Orchidaceae","-33.985013","18.414888"
"Disa rosea","","Disa","Orchidaceae","-33.994025","18.37687"
"Disa rosea","","Disa","Orchidaceae","-33.994039","18.377089"
"Disa rosea","","Disa","Orchidaceae","-33.990322","18.408117"
"Disa rosea","","Disa","Orchidaceae","-33.990265","18.407588"
"Disa rosea","Rose Disa","Disa","Orchidaceae","-34.003309","18.411068"
"Disa rosea","","Disa","Orchidaceae","-34.053652","18.384936"
"Disa rosea","","Disa","Orchidaceae","-34.054102","18.384993"
"Disa rosea","","Disa","Orchidaceae","-34.05409","18.38507"
"Disa rosea","","Disa","Orchidaceae","-34.053953","18.386422"
"Disa rosea","","Disa","Orchidaceae","-34.053733","18.385017"
"Disa rosea","","Disa","Orchidaceae","-34.057437","18.384444"
"Disa rosea","","Disa","Orchidaceae","-34.057944","18.384742"
"Disa rosea","","Disa","Orchidaceae","-34.05759","18.38454"
"Disa rosea","","Disa","Orchidaceae","-34.057622","18.38584"
"Disa rosea","","Disa","Orchidaceae","-34.058003","18.385524"
"Disa rosea","","Disa","Orchidaceae","-34.059812","18.393845"
"Disa rosea","","Disa","Orchidaceae","-34.09334","18.439859"
"Disa rosea","","Disa","Orchidaceae","-34.093311","18.439834"
"Disa rosea","","Disa","Orchidaceae","-34.093387","18.439944"
"Disa rosea","","Disa","Orchidaceae","-34.093333","18.44"
"Disa rosea","","Disa","Orchidaceae","-34.095407","18.430873"
"Disa rosea","","Disa","Orchidaceae","-34.100977","18.446528"
"Drosera aliciae","","Drosera","Droseraceae","-33.95737","18.403531"
"Drosera aliciae","","Drosera","Droseraceae","-33.955366","18.427347"
"Drosera aliciae","","Drosera","Droseraceae","-33.95728","18.430255"
"Drosera aliciae","","Drosera","Droseraceae","-33.957347","18.430171"
"Drosera aliciae","","Drosera","Droseraceae","-33.962542","18.406901"
"Drosera aliciae","","Drosera","Droseraceae","-33.969737","18.401362"
"Drosera aliciae","Shepherds Crook Sundew","Drosera","Droseraceae","-33.96567167","18.40725167"
"Drosera aliciae","","Drosera","Droseraceae","-33.967052","18.406544"
"Drosera aliciae","","Drosera","Droseraceae","-33.969473","18.424118"
"Drosera aliciae","","Drosera","Droseraceae","-33.967608","18.42711"
"Drosera aliciae","","Drosera","Droseraceae","-33.967708","18.426961"
"Drosera aliciae","","Drosera","Droseraceae","-33.972025","18.397194"
"Drosera aliciae","","Drosera","Droseraceae","-33.974167","18.402778"
"Drosera aliciae","","Drosera","Droseraceae","-33.970295","18.412738"
"Drosera aliciae","","Drosera","Droseraceae","-33.973228","18.411207"
"Drosera aliciae","","Drosera","Droseraceae","-33.971463","18.414139"
"Drosera aliciae","Shepherds Crook Sundew","Drosera","Droseraceae","-33.97332","18.419555"
