"Scientific Names","Common Names","Genus","Family","Latitude","Longitude","Elevation","Sample Number"
"Agapanthus africanus","Cape Bluelily","Agapanthus","Amaryllidaceae",-34.200201,18.382174,24,1
"Agapanthus africanus","Cape Bluelily","Agapanthus","Amaryllidaceae",-34.087274,18.41270197,360,2
"Agapanthus africanus","Cape Bluelily","Agapanthus","Amaryllidaceae",-34.197955,18.37948667,125,3
"Agapanthus africanus","Cape Bluelily","Agapanthus","Amaryllidaceae",-34.19402094,18.40192687,222,4
"Agapanthus africanus","Cape Bluelily","Agapanthus","Amaryllidaceae",-34.00635156,18.40451664,420,5
"Agapanthus africanus","Cape Bluelily","Agapanthus","Amaryllidaceae",-34.27416167,18.39266333,69,6
"Audouinia capitata","False Heath","Audouinia","Bruniaceae",-34.26545,18.38808,49,1
"Audouinia capitata","False Heath","Audouinia","Bruniaceae",-34.2667,18.3899,32,2
"Audouinia capitata","False Heath","Audouinia","Bruniaceae",-34.267704,18.46245764,153,3
"Audouinia capitata","False Heath","Audouinia","Bruniaceae",-34.26771563,18.46250555,153,4
"Audouinia capitata","False Heath","Audouinia","Bruniaceae",-34.10071944,18.44828889,396,5
"Audouinia capitata","False Heath","Audouinia","Bruniaceae",-34.147842,18.427912,151,6
"Audouinia capitata","False Heath","Audouinia","Bruniaceae",-34.26653231,18.38966404,49,7
"Audouinia capitata","False Heath","Audouinia","Bruniaceae",-34.14752217,18.42788667,151,8
"Audouinia capitata","False Heath","Audouinia","Bruniaceae",-34.32961486,18.45500685,81,9
"Audouinia capitata","False Heath","Audouinia","Bruniaceae",-34.14786944,18.42786111,151,10
"Audouinia capitata","False Heath","Audouinia","Bruniaceae",-34.26782833,18.4624007,153,11
"Audouinia capitata","False Heath","Audouinia","Bruniaceae",-34.26388885,18.38540189,49,12
"Audouinia capitata","False Heath","Audouinia","Bruniaceae",-34.1478,18.4278,151,13
"Audouinia capitata","False Heath","Audouinia","Bruniaceae",-34.26653333,18.38965833,49,14
"Colpoon compressum","Cape Sumach","Colpoon","Santalaceae",-33.992804,18.426133,163,1
"Colpoon compressum","Cape Sumach","Colpoon","Santalaceae",-33.96284333,18.39106667,232,2
"Colpoon compressum","Cape Sumach","Colpoon","Santalaceae",-33.99246532,18.42617109,163,3
"Colpoon compressum","Cape Sumach","Colpoon","Santalaceae",-34.15106432,18.42975458,62,4
"Colpoon compressum","Cape Sumach","Colpoon","Santalaceae",-33.98934181,18.42490319,459,5
"Cotyledon orbiculata","varkoor","Cotyledon","Crassulaceae",-34.3226088,18.46231666,NA,1
"Cotyledon orbiculata","varkoor","Cotyledon","Crassulaceae",-34.35376526,18.47319223,NA,2
"Cotyledon orbiculata","varkoor","Cotyledon","Crassulaceae",-34.35456463,18.47337328,NA,3
"Cotyledon orbiculata","varkoor","Cotyledon","Crassulaceae",-34.35121944,18.48425556,64,4
"Cotyledon orbiculata","varkoor","Cotyledon","Crassulaceae",-33.95194667,18.42972167,557,5
"Dimorphotheca nudicaulis","Nudestalk Rain Daisy","Dimorphotheca","Asteraceae",-34.219602,18.413221,137,1
"Dimorphotheca nudicaulis","Nudestalk Rain Daisy","Dimorphotheca","Asteraceae",-34.09288622,18.43044801,357,2
"Dimorphotheca nudicaulis","Nudestalk Rain Daisy","Dimorphotheca","Asteraceae",-34.08841684,18.35991642,395,3
"Dimorphotheca nudicaulis","Nudestalk Rain Daisy","Dimorphotheca","Asteraceae",-34.07673455,18.38688394,512,4
"Dimorphotheca nudicaulis","Nudestalk Rain Daisy","Dimorphotheca","Asteraceae",-34.07336667,18.38142833,575,5
"Disa rosea","Rose Disa","Disa","Orchidaceae",-34.003309,18.411068,375,1
"Disa rosea","Rose Disa","Disa","Orchidaceae",-33.96986459,18.4016086,874,2
"Disa rosea","Rose Disa","Disa","Orchidaceae",-33.9731686,18.4194422,944,3
"Disa rosea","Rose Disa","Disa","Orchidaceae",-33.96811308,18.42585819,760,4
"Disa rosea","Rose Disa","Disa","Orchidaceae",-33.97200494,18.42144234,944,5
"Disa rosea","Rose Disa","Disa","Orchidaceae",-33.97335924,18.41959063,944,6
"Disa rosea","Rose Disa","Disa","Orchidaceae",-33.97337797,18.419385,944,7
"Disa rosea","Rose Disa","Disa","Orchidaceae",-33.96805562,18.42590287,760,8
"Disa rosea","Rose Disa","Disa","Orchidaceae",-33.9733667,18.41958627,944,9
